,title,img_ip,link
0,【零失败】简易芒果糯米饭 Delicious Mango Sticky Rice with Zero Failure,http://127.0.0.1:5000/static/All_Images/image0.jpg,http://youtube.com/watch?v=SpT8VrwypVI
1,Healthy Blueberry Banana Pancake in 2 Minutes 无糖 无面粉 健康蓝莓香蕉松饼,http://127.0.0.1:5000/static/All_Images/image1.jpg,http://youtube.com/watch?v=LBKdluzg07Y
2,【Soft Like Cloud】Coconut Condense Milk Bread  像云朵一样柔软的椰奶炼乳面包,http://127.0.0.1:5000/static/All_Images/image2.jpg,http://youtube.com/watch?v=EsPs8KdN-To
3,Easiest No-Knead Garlic Bread! 【Crispy Layer】 No stand mixer 免揉蒜香面包 外脆内软 不用机器也可以拉出薄膜,http://127.0.0.1:5000/static/All_Images/image3.jpg,http://youtube.com/watch?v=8-y0ARSh4Jo
4,新手甜品 零失败 椰汁豆沙糯米糍 【Zero Failure】 Coconut Red Bean Mochi,http://127.0.0.1:5000/static/All_Images/image4.jpg,http://youtube.com/watch?v=s0QObfaKW6c
5,超松软 蜂蜜排包  Super Soft Honey Windsor Bread,http://127.0.0.1:5000/static/All_Images/image5.jpg,http://youtube.com/watch?v=lhaOkG94NI8
6,3 Delicious Chia Seed Pudding Ideas 【健康美味】 三款奇亚籽布丁,http://127.0.0.1:5000/static/All_Images/image6.jpg,http://youtube.com/watch?v=6rAvo7aGJBg
7,超浓郁～ 抹茶豆沙包  Matcha Red Bean Paste Bread,http://127.0.0.1:5000/static/All_Images/image7.jpg,http://youtube.com/watch?v=0LAj4eGOHk4
8,简易白吐司 Rich Milk Bread Loaf/ Shokupan,http://127.0.0.1:5000/static/All_Images/image8.jpg,http://youtube.com/watch?v=VhTShFBs7AQ
9,Make Cream Bread in 1 Minute!,http://127.0.0.1:5000/static/All_Images/image9.jpg,http://youtube.com/watch?v=ayBYhBkc_kM
10,淡奶油吐司 Cream Milk Loaf,http://127.0.0.1:5000/static/All_Images/image10.jpg,http://youtube.com/watch?v=qvleDAzUjUI
11,双色紫薯面包 Purple Yam Swirl Bread,http://127.0.0.1:5000/static/All_Images/image11.jpg,http://youtube.com/watch?v=xVByjaoPBkc
12,抹茶双色花环面包 Matcha Wreath Bread,http://127.0.0.1:5000/static/All_Images/image12.jpg,http://youtube.com/watch?v=Xr8-DbZQvKw
13,无油无糖 免揉面包 [No Oil & No Sugar] No-Knead Country Bread,http://127.0.0.1:5000/static/All_Images/image13.jpg,http://youtube.com/watch?v=jk8yky8Vifw
14,辫子面包 Challah Bread,http://127.0.0.1:5000/static/All_Images/image14.jpg,http://youtube.com/watch?v=gDKSHKCFQ7E
